ID_Mahasiswa,NIM,Nama_Mahasiswa,Status,Nama_Prodi,StartDate,EndDate,IsCurrent,ID_Prodi,,
51,12206006,Damar Sihombing,Aktif,Farmasi,2025-11-24 22:07:15,,1,6,,
52,12107006,Ika Susanto,Drop Out,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
53,12208006,Joko Tambunan,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
54,12409006,Dewi Wibowo,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
55,12301007,Ahmad Lestari,Aktif,Sains Data,2025-11-24 22:07:15,,1,1,,
56,12302007,Jihan Mahendra,Aktif,Matematika,2025-11-24 22:07:15,,1,2,,
57,12403007,Ika Hutapea,Lulus,Fisika,2025-11-24 22:07:15,,1,3,,
58,12304007,Bayu Wibowo,Lulus,Kimia,2025-11-24 22:07:15,,1,5,,
59,12005007,Indra Hutapea,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
60,12106007,Joko Gunawan,Drop Out,Farmasi,2025-11-24 22:07:15,,1,6,,
61,12007007,Joko Saputra,Aktif,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
62,12108007,Evi Lestari,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
63,12109007,Evi Tambunan,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
64,12001008,Sari Setiawan,Drop Out,Sains Data,2025-11-24 22:07:15,,1,1,,
65,12002008,Damar Nainggolan,Lulus,Matematika,2025-11-24 22:07:15,,1,2,,
66,12403008,Lestari Simanjuntak,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
67,12104008,Budi Anggraini,Lulus,Kimia,2025-11-24 22:07:15,,1,5,,
68,12105008,Lestari Purwanto,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
69,12006008,Sari Simanjuntak,Aktif,Farmasi,2025-11-24 22:07:15,,1,6,,
70,12207008,Agus Anggraini,Aktif,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
71,12008008,Sari Simanjuntak,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
72,12409008,Evi Mahendra,Aktif,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
73,12401009,Jihan Susanto,Drop Out,Sains Data,2025-11-24 22:07:15,,1,1,,
74,12302009,Indra Siregar,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,
75,12303009,Agus Tambunan,Aktif,Fisika,2025-11-24 22:07:15,,1,3,,
76,12204009,Rizky Lestari,Cuti,Kimia,2025-11-24 22:07:15,,1,5,,
77,12005009,Utami Hutapea,Drop Out,Biologi,2025-11-24 22:07:15,,1,4,,
78,12206009,Evi Setiawan,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
79,12207009,Kartika Siregar,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
80,12408009,Indra Susanto,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
81,12209009,Indra Nainggolan,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
82,12301010,Budi Lestari,Aktif,Sains Data,2025-11-24 22:07:15,,1,1,,
83,12102010,Kartika Susanto,Cuti,Matematika,2025-11-24 22:07:15,,1,2,,
84,12203010,Jihan Wibowo,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
85,12104010,Budi Lestari,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
86,12405010,Fajar Simanjuntak,Drop Out,Biologi,2025-11-24 22:07:15,,1,4,,
87,12406010,Kartika Hutabarat,Drop Out,Farmasi,2025-11-24 22:07:15,,1,6,,
88,12207010,Dewi Susanto,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
89,12308010,Putri Saputra,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
90,12409010,Evi Mahendra,Lulus,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
91,12301011,Kartika Santoso,Drop Out,Sains Data,2025-11-24 22:07:15,,1,1,,
92,12002011,Fina Simanjuntak,Aktif,Matematika,2025-11-24 22:07:15,,1,2,,
93,12203011,Rizky Wijaya,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
94,12004011,Putri Lestari,Cuti,Kimia,2025-11-24 22:07:15,,1,5,,
95,12005011,Hari Pratama,Cuti,Biologi,2025-11-24 22:07:15,,1,4,,
96,12206011,Agus Hutapea,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
97,12007011,Agus Wibowo,Drop Out,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
98,12208011,Yusuf Mahendra,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
99,12409011,Tono Mahendra,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
100,12001012,Ika Mahendra,Aktif,Sains Data,2025-11-24 22:07:15,,1,1,,
101,12002012,Fajar Hutabarat,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,
102,12403012,Jihan Pratama,Lulus,Fisika,2025-11-24 22:07:15,,1,3,,
103,12204012,Agus Hutabarat,Cuti,Kimia,2025-11-24 22:07:15,,1,5,,
104,12105012,Dewi Wijaya,Aktif,Biologi,2025-11-24 22:07:15,,1,4,,
105,12206012,Gita Nasution,Aktif,Farmasi,2025-11-24 22:07:15,,1,6,,
106,12107012,Nanda Wibowo,Drop Out,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
107,12408012,Dewi Lestari,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
108,12209012,Kartika Wibowo,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
109,12201013,Fajar Setiawan,Drop Out,Sains Data,2025-11-24 22:07:15,,1,1,,
110,12202013,Fina Lestari,Cuti,Matematika,2025-11-24 22:07:15,,1,2,,
111,12203013,Bayu Tambunan,Lulus,Fisika,2025-11-24 22:07:15,,1,3,,
112,12104013,Rizky Setiawan,Cuti,Kimia,2025-11-24 22:07:15,,1,5,,
113,12105013,Eka Wijaya,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
114,12106013,Kartika Anggraini,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
115,12307013,Hadi Anggraini,Drop Out,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
116,12308013,Agus Lestari,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
117,12109013,Bayu Lestari,Lulus,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
118,12001014,Tono Wibowo,Cuti,Sains Data,2025-11-24 22:07:15,,1,1,,
119,12102014,Sari Siregar,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,
120,12103014,Jihan Purwanto,Aktif,Fisika,2025-11-24 22:07:15,,1,3,,
121,12004014,Lestari Lestari,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
122,12105014,Maria Hutapea,Cuti,Biologi,2025-11-24 22:07:15,,1,4,,
123,12406014,Rizky Lestari,Aktif,Farmasi,2025-11-24 22:07:15,,1,6,,
124,12407014,Budi Simanjuntak,Aktif,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
125,12408014,Ahmad Mahendra,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
126,12309014,Budi Nainggolan,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
127,12001015,Fajar Anggraini,Cuti,Sains Data,2025-11-24 22:07:15,,1,1,,
128,12002015,Joko Saputra,Cuti,Matematika,2025-11-24 22:07:15,,1,2,,
129,12403015,Rizky Susanto,Drop Out,Fisika,2025-11-24 22:07:15,,1,3,,
130,12004015,Budi Anggraini,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
131,12405015,Yusuf Lestari,Drop Out,Biologi,2025-11-24 22:07:15,,1,4,,
132,12406015,Maria Lestari,Drop Out,Farmasi,2025-11-24 22:07:15,,1,6,,
133,12107015,Ahmad Purwanto,Drop Out,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
134,12308015,Jihan Hutabarat,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
135,12209015,Sari Wibowo,Drop Out,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
136,12401016,Ika Tambunan,Aktif,Sains Data,2025-11-24 22:07:15,,1,1,,
137,12102016,Evi Hutapea,Cuti,Matematika,2025-11-24 22:07:15,,1,2,,
138,12103016,Budi Saputra,Drop Out,Fisika,2025-11-24 22:07:15,,1,3,,
139,12304016,Dewi Gunawan,Lulus,Kimia,2025-11-24 22:07:15,,1,5,,
140,12305016,Dewi Tambunan,Aktif,Biologi,2025-11-24 22:07:15,,1,4,,
141,12406016,Bayu Setiawan,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
142,12307016,Eka Wibowo,Lulus,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
143,12108016,Eka Gunawan,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
144,12009016,Nanda Setiawan,Drop Out,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
145,12001017,Putri Anggraini,Aktif,Sains Data,2025-11-24 22:07:15,,1,1,,
146,12102017,Putri Gunawan,Lulus,Matematika,2025-11-24 22:07:15,,1,2,,
147,12003017,Indra Nainggolan,Drop Out,Fisika,2025-11-24 22:07:15,,1,3,,
148,12004017,Dewi Sihombing,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
149,12205017,Maria Nasution,Aktif,Biologi,2025-11-24 22:07:15,,1,4,,
150,12006017,Citra Wibowo,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
151,12207017,Agus Mahendra,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
152,12008017,Clara Tambunan,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
153,12409017,Indra Sihombing,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
154,12401018,Tono Susanto,Lulus,Sains Data,2025-11-24 22:07:15,,1,1,,
155,12102018,Ahmad Simanjuntak,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,
156,12103018,Utami Simanjuntak,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
157,12204018,Ika Setiawan,Lulus,Kimia,2025-11-24 22:07:15,,1,5,,
158,12405018,Citra Anggraini,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
159,12306018,Gita Santoso,Drop Out,Farmasi,2025-11-24 22:07:15,,1,6,,
160,12307018,Utami Hutabarat,Lulus,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
161,12208018,Hari Pratama,Drop Out,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
162,12409018,Gita Mahendra,Lulus,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
163,12201019,Clara Nainggolan,Lulus,Sains Data,2025-11-24 22:07:15,,1,1,,
164,12102019,Jihan Nainggolan,Aktif,Matematika,2025-11-24 22:07:15,,1,2,,
165,12403019,Joko Lestari,Drop Out,Fisika,2025-11-24 22:07:15,,1,3,,
166,12204019,Lestari Purwanto,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
167,12105019,Indra Simanjuntak,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
168,12406019,Rizky Pratama,Drop Out,Farmasi,2025-11-24 22:07:15,,1,6,,
169,12007019,Evi Nainggolan,Aktif,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
170,12008019,Fina Nasution,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
171,12309019,Sari Pratama,Aktif,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
172,12401020,Eka Santoso,Aktif,Sains Data,2025-11-24 22:07:15,,1,1,,
173,12302020,Nanda Pratama,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,
174,12403020,Tono Santoso,Aktif,Fisika,2025-11-24 22:07:15,,1,3,,
175,12204020,Kartika Saputra,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
176,12405020,Galih Nainggolan,Aktif,Biologi,2025-11-24 22:07:15,,1,4,,
177,12006020,Jihan Simanjuntak,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
178,12007020,Yusuf Susanto,Aktif,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
179,12408020,Fajar Nasution,Drop Out,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
180,12409020,Ika Sihombing,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
181,12101021,Eka Gunawan,Cuti,Sains Data,2025-11-24 22:07:15,,1,1,,
182,12102021,Budi Mahendra,Cuti,Matematika,2025-11-24 22:07:15,,1,2,,
183,12403021,Agus Mahendra,Aktif,Fisika,2025-11-24 22:07:15,,1,3,,
184,12404021,Galih Gunawan,Aktif,Kimia,2025-11-24 22:07:15,,1,5,,
185,12405021,Damar Saputra,Aktif,Biologi,2025-11-24 22:07:15,,1,4,,
186,12406021,Tono Sihombing,Cuti,Farmasi,2025-11-24 22:07:15,,1,6,,
187,12007021,Citra Anggraini,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
188,12108021,Lestari Susanto,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
189,12209021,Kartika Mahendra,Drop Out,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
190,12101022,Maria Tambunan,Cuti,Sains Data,2025-11-24 22:07:15,,1,1,,
191,12302022,Tono Mahendra,Aktif,Matematika,2025-11-24 22:07:15,,1,2,,
192,12103022,Yusuf Santoso,Drop Out,Fisika,2025-11-24 22:07:15,,1,3,,
193,12404022,Indra Gunawan,Aktif,Kimia,2025-11-24 22:07:15,,1,5,,
194,12405022,Putri Nasution,Aktif,Biologi,2025-11-24 22:07:15,,1,4,,
195,12206022,Rizky Nasution,Cuti,Farmasi,2025-11-24 22:07:15,,1,6,,
196,12207022,Indra Simanjuntak,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
197,12108022,Clara Siregar,Drop Out,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
198,12409022,Hari Sihombing,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
199,12201023,Damar Hutapea,Lulus,Sains Data,2025-11-24 22:07:15,,1,1,,
200,12202023,Gita Sihombing,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,
201,12203023,Kartika Gunawan,Lulus,Fisika,2025-11-24 22:07:15,,1,3,,
202,12304023,Galih Mahendra,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
203,12405023,Evi Setiawan,Aktif,Biologi,2025-11-24 22:07:15,,1,4,,
204,12106023,Putri Setiawan,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
205,12007023,Galih Sihombing,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
206,12208023,Maria Mahendra,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
207,12309023,Hari Nasution,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
208,12201024,Nanda Wijaya,Aktif,Sains Data,2025-11-24 22:07:15,,1,1,,
209,12102024,Nanda Siregar,Lulus,Matematika,2025-11-24 22:07:15,,1,2,,
210,12203024,Damar Pratama,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
211,12404024,Kartika Hutabarat,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
212,12205024,Nanda Purwanto,Cuti,Biologi,2025-11-24 22:07:15,,1,4,,
213,12106024,Hadi Gunawan,Cuti,Farmasi,2025-11-24 22:07:15,,1,6,,
214,12007024,Jihan Sihombing,Lulus,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
215,12308024,Indra Saputra,Drop Out,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
216,12409024,Putri Santoso,Drop Out,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
217,12201025,Jihan Setiawan,Cuti,Sains Data,2025-11-24 22:07:15,,1,1,,
218,12102025,Fajar Nasution,Lulus,Matematika,2025-11-24 22:07:15,,1,2,,
219,12303025,Fajar Hutabarat,Drop Out,Fisika,2025-11-24 22:07:15,,1,3,,
220,12404025,Sari Pratama,Cuti,Kimia,2025-11-24 22:07:15,,1,5,,
221,12105025,Evi Sihombing,Drop Out,Biologi,2025-11-24 22:07:15,,1,4,,
222,12206025,Budi Siregar,Cuti,Farmasi,2025-11-24 22:07:15,,1,6,,
223,12007025,Indra Lestari,Drop Out,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
224,12308025,Gita Sihombing,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
225,12409025,Putri Siregar,Cuti,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
226,12101026,Joko Tambunan,Lulus,Sains Data,2025-11-24 22:07:15,,1,1,,
227,12102026,Ahmad Purwanto,Aktif,Matematika,2025-11-24 22:07:15,,1,2,,
228,12103026,Eka Santoso,Aktif,Fisika,2025-11-24 22:07:15,,1,3,,
229,12004026,Hadi Setiawan,Cuti,Kimia,2025-11-24 22:07:15,,1,5,,
230,12005026,Kartika Anggraini,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
231,12206026,Citra Tambunan,Aktif,Farmasi,2025-11-24 22:07:15,,1,6,,
232,12107026,Nanda Setiawan,Aktif,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
233,12308026,Rizky Tambunan,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
234,12009026,Putri Pratama,Lulus,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
235,12401027,Evi Tambunan,Lulus,Sains Data,2025-11-24 22:07:15,,1,1,,
236,12302027,Citra Wijaya,Aktif,Matematika,2025-11-24 22:07:15,,1,2,,
237,12403027,Gita Nasution,Drop Out,Fisika,2025-11-24 22:07:15,,1,3,,
238,12204027,Jihan Pratama,Cuti,Kimia,2025-11-24 22:07:15,,1,5,,
239,12405027,Tono Gunawan,Cuti,Biologi,2025-11-24 22:07:15,,1,4,,
240,12406027,Clara Lestari,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
241,12207027,Budi Pratama,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
242,12208027,Agus Pratama,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
243,12109027,Yusuf Susanto,Aktif,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
244,12101028,Citra Sihombing,Cuti,Sains Data,2025-11-24 22:07:15,,1,1,,
245,12102028,Evi Nainggolan,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,
246,12203028,Ika Nasution,Lulus,Fisika,2025-11-24 22:07:15,,1,3,,
247,12404028,Dewi Nasution,Aktif,Kimia,2025-11-24 22:07:15,,1,5,,
248,12405028,Joko Lestari,Cuti,Biologi,2025-11-24 22:07:15,,1,4,,
249,12006028,Gita Tambunan,Cuti,Farmasi,2025-11-24 22:07:15,,1,6,,
250,12007028,Yusuf Lestari,Aktif,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
251,12108028,Damar Santoso,Lulus,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
252,12309028,Bayu Nainggolan,Lulus,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
253,12001029,Lestari Pratama,Drop Out,Sains Data,2025-11-24 22:07:15,,1,1,,
254,12202029,Dewi Anggraini,Lulus,Matematika,2025-11-24 22:07:15,,1,2,,
255,12203029,Sari Susanto,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
256,12104029,Hari Sihombing,Lulus,Kimia,2025-11-24 22:07:15,,1,5,,
257,12205029,Clara Saputra,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
258,12306029,Galih Purwanto,Cuti,Farmasi,2025-11-24 22:07:15,,1,6,,
259,12207029,Utami Sihombing,Drop Out,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
260,12408029,Hadi Lestari,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
261,12109029,Rizky Gunawan,Drop Out,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
262,12101030,Hadi Saputra,Drop Out,Sains Data,2025-11-24 22:07:15,,1,1,,
263,12202030,Dewi Purwanto,Lulus,Matematika,2025-11-24 22:07:15,,1,2,,
264,12103030,Indra Siregar,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
265,12404030,Ika Setiawan,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
266,12205030,Hari Nasution,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
267,12306030,Putri Susanto,Aktif,Farmasi,2025-11-24 22:07:15,,1,6,,
268,12107030,Eka Gunawan,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
269,12008030,Kartika Mahendra,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
270,12209030,Eka Nasution,Aktif,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
271,12201031,Utami Nainggolan,Cuti,Sains Data,2025-11-24 22:07:15,,1,1,,
272,12002031,Rizky Saputra,Cuti,Matematika,2025-11-24 22:07:15,,1,2,,
273,12203031,Indra Setiawan,Aktif,Fisika,2025-11-24 22:07:15,,1,3,,
274,12104031,Clara Anggraini,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
275,12305031,Ika Pratama,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
276,12306031,Dewi Simanjuntak,Cuti,Farmasi,2025-11-24 22:07:15,,1,6,,
277,12207031,Nanda Mahendra,Drop Out,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
278,12308031,Sari Pratama,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
279,12309031,Joko Hutabarat,Lulus,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
280,12401032,Ika Sihombing,Cuti,Sains Data,2025-11-24 22:07:15,,1,1,,
281,12202032,Hari Sihombing,Lulus,Matematika,2025-11-24 22:07:15,,1,2,,
282,12403032,Gita Saputra,Lulus,Fisika,2025-11-24 22:07:15,,1,3,,
283,12004032,Kartika Tambunan,Aktif,Kimia,2025-11-24 22:07:15,,1,5,,
284,12305032,Kartika Lestari,Drop Out,Biologi,2025-11-24 22:07:15,,1,4,,
285,12006032,Dewi Simanjuntak,Aktif,Farmasi,2025-11-24 22:07:15,,1,6,,
